Qty;Item;Price;Link
1;"14.1"" Display";$40.23;https://de.aliexpress.com/item/32964127950.html?spm=a2g0o.productlist.main.41.453bxaTExaTEJh&algo_pvid=c13f9c0e-ae0f-4d26-8814-9df3534a94ff&algo_exp_id=c13f9c0e-ae0f-4d26-8814-9df3534a94ff-40&pdp_ext_f=%7B%22order%22%3A%2229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2182.11%2140.23%21%21%2182.11%2140.23%21%400b8848e317867023241957752e0c40%2166502945115%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae7687ea0%3Bm03_new_user%3A-29895&curPageLogUid=2eI5ZsHn1JCP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32964127950%7C_p_origin_prod%3A
1;HDMI Driver Board;$19.66;https://de.aliexpress.com/item/1005012546921142.html?gps-id=pcDetailBottomMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=50513343-e5ba-4006-9490-287c57678bb0&_t=gps-id%3ApcDetailBottomMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A50513343-e5ba-4006-9490-287c57678bb0%2Ctpp_buckets%3A668%232846%238112%231997&pdp_ext_f=%7B%22order%22%3A%2214%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%2147.65%2122.40%21%21%21319.78%21150.30%21%402103842a17864751457502493e0dac%2112000058699684705%21rec%21DE%21%21ABXZ%211%210%21n_tag%3A-29910%3Bd%3Ae7687ea0%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailBottomMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005012546921142%7C_p_origin_prod%3A#nav-specification
1;Housing Whole;$5.54;-
1;Housing Split;$4.34;-
27;Screws;$1.75;https://de.aliexpress.com/item/1005006904738286.html?spm=a2g0o.productlist.main.5.7c834ed6Tdad2i&algo_pvid=45812fac-4db3-47bd-a318-66076bea9e9c&algo_exp_id=45812fac-4db3-47bd-a318-66076bea9e9c-4&pdp_ext_f=%7B%22order%22%3A%2283519%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006904738286%22%2C%22orig_item_id%22%3A%221005006674897468%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.22%211.61%21%21%2121.59%2110.79%21%400b15834e17867036184167264e0dc4%2112000059465164594%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae7687ea0%3Bm03_new_user%3A-29895&curPageLogUid=KKHvlnEuOxHi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006904738286%7C_p_origin_prod%3A1005006674897468
27;Heated Inserts;$2.15;https://de.aliexpress.com/item/1005008666672949.html?spm=a2g0o.productlist.main.4.15a33820sX586o&aem_p4p_detail=2026081403352414101282169270060000060393&algo_pvid=ab551884-a658-405a-a8bd-3692b2681edc&algo_exp_id=ab551884-a658-405a-a8bd-3692b2681edc-3&pdp_ext_f=%7B%22order%22%3A%2214204%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.85%212.85%21%21%2119.10%2119.10%21%402103973d17867037247281703e0f53%2112000046157335344%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae7687ea0%3Bm03_new_user%3A-29895&curPageLogUid=KpOiSUaaeojh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008666672949%7C_p_origin_prod%3A&search_p4p_id=2026081403352414101282169270060000060393_1
